Campaign ID,Parent Campaign ID,Member Type,Member Status,Lead ID,Member First Associated Date,Member Status Update Date,Member First Responded Date,Responded,Title,Company,Account Owner,Street Line 3,Country,State/Province,Campaign Name
70130000000trmy,,Lead,Sent,00Q3000001GkCJH,2/8/16,2/8/16,,0,Senior IT Infrastructure Engineer,"Sonic Automotive, Inc",,,United States,North Carolina,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCJb,2/8/16,2/8/16,,0,Application Support Analyst,Chevron Phillips Chemical,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCJc,2/8/16,2/8/16,,0,Application Support Analyst,Chevron Phillips Chemical,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCJj,2/8/16,2/8/16,,0,Associate Software Developer,Insperity,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCJk,2/8/16,2/8/16,,0,Business Intelligence Architect,BP America Inc.,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCKG,2/8/16,2/8/16,,0,"Director, IT",Waste Management Inc.,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCKT,2/8/16,2/8/16,,0,Director of Standards Development Manager for Transactions & ESB Projects,Jboss,,,US,GA,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCLe,2/8/16,2/8/16,,0,Senior Solution Architect,AGCO,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCLg,2/8/16,2/8/16,,0,"Senior Director,  Master Data Management",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCLh,2/8/16,2/8/16,,0,Database Administrator,Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCLk,2/8/16,2/8/16,,0,"Senior Director, IT",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCLm,2/8/16,2/8/16,,0,"Program Manager, Analytics",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCLn,2/8/16,2/8/16,,0,"Senior Director, IT",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCLy,2/8/16,2/8/16,,0,"Program Manager, Technology",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCM0,2/8/16,2/8/16,,0,"Senior Director, Technology",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCM2,2/8/16,2/8/16,,0,"Program Manager, Commercial Solutions",Equifax Inc.,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCM3,2/8/16,2/8/16,,0,"Lead, IT Security and Compliance",Penn West Exploration,,,Canada,Alberta,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCMD,2/8/16,2/8/16,,0,"Senior Director, IT",Dow Chemical Company,,,United States,Texas,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCMp,2/8/16,2/8/16,,0,Chief Technology Officer (CTO),City of Houston,,,,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCMv,2/8/16,2/8/16,,0,Infrastructure Architect,BP America Inc.,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCN4,2/8/16,2/8/16,,0,IT Application Developer,"Kinder Morgan, Inc.",,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCNJ,2/8/16,2/8/16,,0,IT Service Delivery Business Analyst,Academy Sports + Outdoors,,,United States,Texas( TX ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCOH,2/8/16,2/8/16,,0,"Director, IT Enterprise PMO",Lakeland Regional Medical Center,,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCOt,2/8/16,2/8/16,,0,"Manager, Regional Computer Operations","Sonic Automotive, Inc",,,United States,North Carolina,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkCPV,2/8/16,2/8/16,,0,"Vice President, Technology Project Management",Bank of New York Mellon Corporation,,,,TX,Modernize Existing Applications with Private PaaS
