Opportunity ID,Account ID,Stage,Billing Country,Billing State/Province,Type,Lead Source,Close Date,Probability (%),Fiscal Period,Age,Created Date
0063000000sbteh,00130000016LaXu,Closed Lost,United States,IL,License,SaaSGrid Installer,6/22/2012,0,Q2-2012,45,5/8/2012
0063000000sbtgE,00130000016LaZQ,Closed Won,United States,NY,License,linkedinad,9/10/2012,100,Q3-2012,125,5/8/2012
0063000000zDcD2,00130000016LaZQ,Closed Lost,United States,NY,License,Existing Account,7/31/2015,0,Q3-2015,401,6/25/2014
0063000000xGEP2,00130000016LaZQ,Closed Won,United States,NY,License,Existing Account,6/25/2014,100,Q2-2014,274,9/24/2013
0063000000utFUn,00130000016LaZQ,Closed Won,United States,NY,License,linkedinad,7/31/2013,100,Q3-2013,329,9/5/2012
0063000000sbti5,00130000016Labw,Closed Lost,South Africa,Cape Town,License,Web Site,11/16/2012,0,Q4-2012,192,5/8/2012
0063000000tJ73E,00130000016MGRb,Closed Won,Norway,,License,SaaSGrid Installer,11/15/2012,100,Q4-2012,147,6/21/2012
0063000000sd5Sw,00130000016O17F,Closed Lost,United States,CA,License,Employee Referral,6/15/2016,0,Q2-2016,1491,5/16/2012
0063000000utd8m,00130000016O17F,Closed Lost,United States,CA,License,Employee Referral,12/25/2020,0,Q4-2020,3020,9/18/2012
0063000000sdLBE,00130000016OMDU,Closed Lost,United States,AZ,License,Employee Referral,12/25/2020,0,Q4-2020,3144,5/17/2012
0063000000tGBSf,00130000016xLTW,Closed Lost,Australia,NSW,License,,12/25/2020,0,Q4-2020,3136,5/25/2012
0063000000zEEIC,00130000016xLTW,Closed Lost,Australia,NSW,License,Public Relations,12/25/2020,0,Q4-2020,2354,7/16/2014
0063000000utVqe,00130000016xLTW,Closed Lost,Australia,NSW,License,,12/25/2020,0,Q4-2020,3024,9/14/2012
00630000012F2Kj,00130000017yITs,Closed Won,United States,TX,License,Existing Account,12/14/2015,100,Q4-2015,74,10/1/2015
0063000000tITaO,00130000017yITs,Closed Lost,United States,TX,License,Existing Account,12/25/2020,0,Q4-2020,3115,6/15/2012
0063000000uBXAO,00130000019DPIc,Closed Lost,United States,CA,License,Trade Show,12/25/2020,0,Q4-2020,3082,7/18/2012
0063000000yVTbf,00130000019s4sG,Closed Lost,United States,MD,License,Web,12/25/2020,0,Q4-2020,2444,4/17/2014
00630000013DCxI,00130000019s4sG,Interest,United States,MD,License & Service,Partner,6/30/2016,5,Q2-2016,62,12/10/2015
